date,AAPL,MSFT,SPY
2025-01-02,184.63,369.37,505.21
2025-01-03,184.17,359.05,504.57
2025-01-06,183.91,363.11,504.06
2025-01-07,186.36,353.65,502.26
2025-01-08,186.04,361.9,505.61
2025-01-09,181.21,363.35,502.34
2025-01-10,182.4,357.75,506.19
2025-01-13,181.64,368.12,502.59
2025-01-14,181.04,371.62,498.53
2025-01-15,181.52,362.08,499.52
2025-01-16,182.39,363.73,500.22
2025-01-17,186.37,360.19,501.59
2025-01-20,188.69,360.91,506.04
2025-01-21,189.18,358.73,504.55
2025-01-22,186.8,365.86,506.52
2025-01-23,183.53,358.8,503.03
2025-01-24,184.45,360.56,508.3
2025-01-27,188.97,370.01,511.05
2025-01-28,189.23,365.91,513.43
2025-01-29,188.98,367.16,514.38
2025-01-30,190.91,368.36,511.34
2025-01-31,186.09,364.99,510.18
2025-02-03,185.16,368.48,512.41
2025-02-04,186.91,369.15,512.51
2025-02-05,189.99,364.46,513.2
2025-02-06,189.28,373.73,507.83
2025-02-07,190.68,378.07,508.74
2025-02-10,191.65,377.36,506.11
2025-02-11,194.49,374.18,501.92
2025-02-12,190.74,370.26,501.47
2025-02-13,192.82,376.86,494.25
2025-02-14,187.75,376.26,497.2
2025-02-17,179.21,378.86,500.77
2025-02-18,177.37,378.05,500.73
2025-02-19,174.57,381.5,496.94
2025-02-20,177.45,381.05,493.37
2025-02-21,179.69,385.32,492.95
2025-02-24,175.9,384.51,483.65
2025-02-25,178.71,389.17,484.52
2025-02-26,175.62,393.03,487.27
2025-02-27,175.45,392.57,486.23
2025-02-28,174.63,388.04,484.48
2025-03-03,175.1,383.14,485.35
2025-03-04,177.8,379.36,486.89
2025-03-05,179.97,374.34,491.34
2025-03-06,181.21,379.07,491.58
2025-03-07,183.45,379.0,489.05
2025-03-10,185.15,387.59,487.42
2025-03-11,183.18,400.34,488.3
2025-03-12,180.94,400.66,494.59
2025-03-13,179.53,392.24,493.5
2025-03-14,181.26,390.33,489.53
2025-03-17,180.55,390.09,486.3
2025-03-18,188.41,382.22,478.38
2025-03-19,185.77,381.05,479.82
2025-03-20,182.24,382.76,474.78
2025-03-21,184.89,380.48,470.29
2025-03-24,189.8,376.58,463.07
2025-03-25,191.65,372.76,459.11
2025-03-26,194.67,382.38,461.36
2025-03-27,199.85,381.7,456.71
2025-03-28,199.63,377.46,450.52
2025-03-31,194.7,375.66,451.32
2025-04-01,192.96,380.88,450.25
2025-04-02,196.42,377.42,451.96
2025-04-03,191.49,380.15,454.81
2025-04-04,191.72,384.21,454.94
2025-04-07,192.71,388.44,450.4
2025-04-08,191.74,396.3,450.11
2025-04-09,194.37,393.44,452.07
2025-04-10,196.53,399.91,450.13
2025-04-11,205.04,395.67,445.13
2025-04-14,207.46,393.66,449.24
2025-04-15,205.32,400.49,447.9
2025-04-16,203.38,405.3,446.59
2025-04-17,200.48,405.5,446.81
2025-04-18,204.07,398.97,450.66
2025-04-21,202.12,402.3,451.77
2025-04-22,201.98,398.95,450.73
2025-04-23,204.85,394.0,453.35
2025-04-24,202.32,390.61,461.37
2025-04-25,201.37,392.14,466.68
2025-04-28,194.92,380.84,469.37
2025-04-29,191.28,382.94,465.33
2025-04-30,189.45,384.05,479.68
2025-05-01,190.98,381.09,475.27
2025-05-02,195.25,386.83,474.02
2025-05-05,195.3,390.33,471.54
2025-05-06,196.34,387.21,477.89
2025-05-07,197.05,383.77,479.66
2025-05-08,201.06,387.69,474.39
2025-05-09,204.44,379.72,475.57
2025-05-12,205.57,378.13,477.82
2025-05-13,201.99,374.97,476.77
2025-05-14,205.42,375.51,472.31
2025-05-15,206.96,376.79,469.74
2025-05-16,211.71,377.15,468.26
2025-05-19,211.72,383.37,468.51
2025-05-20,219.43,384.76,466.73
2025-05-21,218.15,383.24,469.65
2025-05-22,224.63,376.97,466.26
2025-05-23,225.23,380.97,460.0
2025-05-26,223.28,383.97,457.45
2025-05-27,218.92,392.03,462.58
2025-05-28,218.46,388.12,460.62
2025-05-29,224.26,388.44,469.49
2025-05-30,227.72,388.29,471.51
2025-06-02,230.7,387.99,467.3
2025-06-03,221.17,388.22,464.35
2025-06-04,224.16,379.19,465.42
2025-06-05,226.55,383.77,461.22
2025-06-06,224.45,387.46,470.23
2025-06-09,222.06,393.82,466.68
2025-06-10,222.19,406.61,469.39
2025-06-11,229.33,404.98,475.07
2025-06-12,225.15,404.95,474.82
2025-06-13,223.56,405.19,471.22
2025-06-16,229.24,416.55,470.36
2025-06-17,227.55,406.76,471.89
2025-06-18,226.19,409.72,475.37
2025-06-19,226.73,401.55,475.75
2025-06-20,221.85,387.47,470.62
2025-06-23,222.87,376.83,470.94
2025-06-24,218.2,369.78,468.58
2025-06-25,221.83,375.52,460.63
2025-06-26,221.98,371.15,458.22
2025-06-27,231.43,370.14,453.16
2025-06-30,232.74,364.32,455.45
2025-07-01,238.68,367.61,462.75
2025-07-02,233.29,362.15,469.85
2025-07-03,232.91,369.06,467.86
2025-07-04,234.41,364.13,466.28
2025-07-07,242.04,360.41,469.02
2025-07-08,234.97,361.19,473.19
2025-07-09,239.34,361.48,471.77
2025-07-10,242.05,368.93,471.4
2025-07-11,248.97,369.72,479.96
2025-07-14,252.33,363.68,479.72
2025-07-15,252.72,361.0,478.02
2025-07-16,250.51,358.28,478.65
2025-07-17,245.09,362.1,481.04
2025-07-18,246.1,364.21,477.29
2025-07-21,245.4,363.77,476.51
2025-07-22,254.64,368.39,472.25
2025-07-23,252.01,365.84,471.37
2025-07-24,253.62,365.31,478.67
2025-07-25,246.7,366.4,481.68
2025-07-28,245.1,374.49,481.5
2025-07-29,246.4,374.14,478.08
2025-07-30,250.24,372.48,477.06
2025-07-31,257.0,367.23,481.26
2025-08-01,256.95,370.94,479.27
2025-08-04,251.98,368.06,485.03
2025-08-05,254.22,370.01,479.9
2025-08-06,256.75,360.45,478.95
2025-08-07,259.19,365.91,485.85
2025-08-08,256.1,359.32,478.27
2025-08-11,261.53,355.59,483.01
2025-08-12,262.1,361.06,476.07
2025-08-13,265.59,354.54,475.9
2025-08-14,271.91,354.3,475.41
2025-08-15,275.07,354.83,478.72
2025-08-18,276.66,350.06,466.95
2025-08-19,287.77,356.86,460.01
2025-08-20,289.2,364.6,458.09
2025-08-21,287.84,354.83,458.38
2025-08-22,288.59,347.86,455.28
2025-08-25,296.58,351.98,454.63
2025-08-26,297.39,345.77,450.5
2025-08-27,300.36,344.05,449.21
2025-08-28,307.08,344.83,446.34
2025-08-29,304.44,348.34,447.36
2025-09-01,295.31,347.41,449.61
2025-09-02,297.08,348.03,454.95
2025-09-03,298.49,344.42,452.73
2025-09-04,295.42,350.87,451.73
2025-09-05,300.27,348.6,452.06
2025-09-08,303.75,350.42,451.16
2025-09-09,298.54,348.07,451.13
2025-09-10,301.52,348.75,445.68
2025-09-11,300.63,348.09,447.16
2025-09-12,292.89,347.45,444.06
2025-09-15,295.47,342.71,440.83
2025-09-16,295.4,346.71,435.41
2025-09-17,291.64,353.8,439.63
2025-09-18,294.58,355.17,439.29
2025-09-19,297.35,358.99,443.5
2025-09-22,294.46,363.39,444.62
2025-09-23,296.76,368.31,438.76
2025-09-24,302.42,370.04,435.13
2025-09-25,298.74,371.31,437.92
2025-09-26,300.98,376.0,435.4
2025-09-29,301.17,376.53,431.77
2025-09-30,313.9,371.6,431.3
2025-10-01,303.73,371.89,430.85
2025-10-02,307.74,362.35,427.52
2025-10-03,306.23,362.48,426.56
2025-10-06,305.87,364.75,425.08
2025-10-07,316.71,371.28,416.5
2025-10-08,316.85,372.24,418.33
2025-10-09,330.09,377.27,415.77
2025-10-10,327.67,377.44,420.28
2025-10-13,329.94,372.24,416.57
2025-10-14,327.23,365.12,411.49
2025-10-15,323.38,360.36,415.56
2025-10-16,323.94,353.69,410.47
2025-10-17,322.49,357.0,408.53
2025-10-20,323.86,356.13,410.63
2025-10-21,312.01,359.14,409.69
2025-10-22,323.66,359.68,404.44
2025-10-23,322.88,365.14,405.19
2025-10-24,333.37,370.76,404.7
2025-10-27,327.58,367.59,409.02
2025-10-28,329.5,366.35,411.1
2025-10-29,349.03,363.79,421.35
2025-10-30,343.81,355.79,415.99
2025-10-31,334.88,359.33,416.06
2025-11-03,331.8,365.52,412.67
2025-11-04,334.84,365.65,416.64
2025-11-05,339.25,363.3,419.54
2025-11-06,347.43,369.06,422.23
2025-11-07,346.03,357.3,419.76
2025-11-10,336.4,358.35,417.41
2025-11-11,333.97,359.23,410.83
2025-11-12,341.72,356.53,416.63
2025-11-13,344.8,363.71,418.47
2025-11-14,333.07,368.85,417.75
2025-11-17,333.06,367.67,421.03
2025-11-18,341.75,367.39,423.71
2025-11-19,355.3,365.56,427.18
2025-11-20,359.12,363.12,421.82
2025-11-21,361.34,356.69,419.56
2025-11-24,353.58,363.81,420.36
2025-11-25,348.46,369.25,421.71
2025-11-26,348.97,373.57,425.1
2025-11-27,352.35,368.05,421.83
2025-11-28,356.27,379.1,422.41
2025-12-01,353.42,389.93,430.08
2025-12-02,346.38,391.14,432.61
2025-12-03,341.77,386.39,435.79
2025-12-04,334.93,381.9,435.88
2025-12-05,339.03,384.32,438.72
2025-12-08,325.4,379.61,445.25
2025-12-09,323.65,379.6,445.78
2025-12-10,326.48,385.6,450.33
2025-12-11,335.75,377.72,447.34
2025-12-12,336.38,388.66,449.62
2025-12-15,342.7,397.45,453.04
2025-12-16,340.46,390.81,450.48
2025-12-17,336.13,383.32,454.61
2025-12-18,332.27,381.97,452.32
2025-12-19,341.74,376.67,449.58
2025-12-22,348.12,375.45,449.73
2025-12-23,351.39,362.29,456.89
2025-12-24,373.33,361.29,458.19
2025-12-25,373.33,370.69,461.79
2025-12-26,377.75,365.11,459.26
2025-12-29,380.08,363.88,459.7
2025-12-30,378.79,356.53,455.55
2025-12-31,395.15,359.89,453.64
2026-01-01,406.26,358.92,456.84
2026-01-02,396.39,368.97,456.86
2026-01-05,393.78,370.21,462.36
2026-01-06,397.07,368.45,461.77
2026-01-07,402.95,371.46,461.2
2026-01-08,393.52,369.01,466.1
2026-01-09,378.09,362.32,463.85
2026-01-12,365.56,364.01,458.4
2026-01-13,365.31,363.29,463.36
2026-01-14,364.85,364.3,465.06
2026-01-15,367.34,366.38,457.24
2026-01-16,362.51,363.94,457.56
2026-01-19,354.82,366.26,456.24
